logical_position,row,global_col,side,local_col,switch_ref,default_key
0,0,0,LEFT,0,SWL1,GRAVE
1,0,1,LEFT,1,SWL2,N1
2,0,2,LEFT,2,SWL3,N2
3,0,3,LEFT,3,SWL4,N3
4,0,4,LEFT,4,SWL5,N4
5,0,5,LEFT,5,SWL6,N5
6,0,6,RIGHT,0,SWR1,N6
7,0,7,RIGHT,1,SWR2,N7
8,0,8,RIGHT,2,SWR3,N8
9,0,9,RIGHT,3,SWR4,N9
10,0,10,RIGHT,4,SWR5,N0
11,0,11,RIGHT,5,SWR6,MINUS
12,0,12,RIGHT,6,SWR7,EQUAL
13,0,13,RIGHT,7,SWR8,BSPC
14,1,0,LEFT,0,SWL7,TAB
15,1,1,LEFT,1,SWL8,Q
16,1,2,LEFT,2,SWL9,W
17,1,3,LEFT,3,SWL10,E
18,1,4,LEFT,4,SWL11,R
19,1,5,LEFT,5,SWL12,T
20,1,6,RIGHT,0,SWR9,Y
21,1,7,RIGHT,1,SWR10,U
22,1,8,RIGHT,2,SWR11,I
23,1,9,RIGHT,3,SWR12,O
24,1,10,RIGHT,4,SWR13,P
25,1,11,RIGHT,5,SWR14,LBKT
26,1,12,RIGHT,6,SWR15,RBKT
27,1,13,RIGHT,7,SWR16,BSLH
28,2,0,LEFT,0,SWL13,CAPS
29,2,1,LEFT,1,SWL14,A
30,2,2,LEFT,2,SWL15,S
31,2,3,LEFT,3,SWL16,D
32,2,4,LEFT,4,SWL17,F
33,2,5,LEFT,5,SWL18,G
34,2,6,RIGHT,0,SWR17,H
35,2,7,RIGHT,1,SWR18,J
36,2,8,RIGHT,2,SWR19,K
37,2,9,RIGHT,3,SWR20,L
38,2,10,RIGHT,4,SWR21,SEMI
39,2,11,RIGHT,5,SWR22,SQT
40,2,12,RIGHT,6,SWR23,ENTER
41,3,0,LEFT,0,SWL19,LSHIFT
42,3,1,LEFT,1,SWL20,Z
43,3,2,LEFT,2,SWL21,X
44,3,3,LEFT,3,SWL22,C
45,3,4,LEFT,4,SWL23,V
46,3,5,LEFT,5,SWL24,B
47,3,6,RIGHT,0,SWR24,N
48,3,7,RIGHT,1,SWR25,M
49,3,8,RIGHT,2,SWR26,COMMA
50,3,9,RIGHT,3,SWR27,DOT
51,3,10,RIGHT,4,SWR28,FSLH
52,3,11,RIGHT,5,SWR29,RSHIFT
53,4,0,LEFT,0,SWL25,LCTRL
54,4,1,LEFT,1,SWL26,LGUI
55,4,2,LEFT,2,SWL27,LALT
56,4,3,LEFT,3,SWL28,MO1
57,4,4,LEFT,4,SWL29,SPACE
58,4,6,RIGHT,0,SWR30,SPACE
59,4,7,RIGHT,1,SWR31,MO1
60,4,8,RIGHT,2,SWR32,RALT
61,4,9,RIGHT,3,SWR33,RGUI
62,4,10,RIGHT,4,SWR34,K_APP
63,4,11,RIGHT,5,SWR35,RCTRL
