side,MCU_pad,XIAO_name,nRF52840_pin,Ver012_net,ZMK_use
LEFT,1,D0,P0.02,L_JOY_X,extension_reserved
LEFT,2,D1,P0.03,L_JOY_Y,extension_reserved
LEFT,3,D2,P0.28,L_JOY_SW,extension_reserved
LEFT,4,D3,P0.29,L_ROW0,matrix_row
LEFT,5,D4,P0.04,L_JOY_SDA,extension_reserved
LEFT,6,D5,P0.05,L_JOY_SCL,extension_reserved
LEFT,7,D6,P1.11,L_ROW1,matrix_row
LEFT,8,D7,P1.12,L_ROW2,matrix_row
LEFT,9,D8,P1.13,L_ROW3,matrix_row
LEFT,10,D9,P1.14,L_ROW4,matrix_row
LEFT,11,D10,P1.15,L_COL0,matrix_col
LEFT,15,D11,P0.15,L_COL1,matrix_col
LEFT,16,D12,P0.19,L_COL2,matrix_col
LEFT,17,D13,P1.01,L_COL3,matrix_col
LEFT,18,D14,P0.09,L_COL4,matrix_col
LEFT,19,D15,P0.10,L_COL5,matrix_col
LEFT,23,D19,P1.07,L_LED_CTRL,status_led_reserved
RIGHT,1,D0,P0.02,R_JOY_X,extension_reserved
RIGHT,2,D1,P0.03,R_JOY_Y,extension_reserved
RIGHT,3,D2,P0.28,R_JOY_SW,extension_reserved
RIGHT,4,D3,P0.29,R_ROW0,matrix_row
RIGHT,5,D4,P0.04,R_JOY_SDA,extension_reserved
RIGHT,6,D5,P0.05,R_JOY_SCL,extension_reserved
RIGHT,7,D6,P1.11,R_ROW1,matrix_row
RIGHT,8,D7,P1.12,R_ROW2,matrix_row
RIGHT,9,D8,P1.13,R_ROW3,matrix_row
RIGHT,10,D9,P1.14,R_ROW4,matrix_row
RIGHT,11,D10,P1.15,R_COL0,matrix_col
RIGHT,15,D11,P0.15,R_COL1,matrix_col
RIGHT,16,D12,P0.19,R_COL2,matrix_col
RIGHT,17,D13,P1.01,R_COL3,matrix_col
RIGHT,18,D14,P0.09,R_COL4,matrix_col
RIGHT,19,D15,P0.10,R_COL5,matrix_col
RIGHT,21,D17,P1.03,R_COL6,matrix_col
RIGHT,22,D18,P1.05,R_COL7,matrix_col
RIGHT,23,D19,P1.07,R_LED_CTRL,status_led_reserved
