Side,key,switch,diode,ROW,SW_to_K,A_to_COL
LEFT,1,SWL1,DL1,L_ROW0,L_K1_D,L_COL0
LEFT,2,SWL2,DL2,L_ROW0,L_K2_D,L_COL1
LEFT,3,SWL3,DL3,L_ROW0,L_K3_D,L_COL2
LEFT,4,SWL4,DL4,L_ROW0,L_K4_D,L_COL3
LEFT,5,SWL5,DL5,L_ROW0,L_K5_D,L_COL4
LEFT,6,SWL6,DL6,L_ROW0,L_K6_D,L_COL5
LEFT,7,SWL7,DL7,L_ROW1,L_K7_D,L_COL0
LEFT,8,SWL8,DL8,L_ROW1,L_K8_D,L_COL1
LEFT,9,SWL9,DL9,L_ROW1,L_K9_D,L_COL2
LEFT,10,SWL10,DL10,L_ROW1,L_K10_D,L_COL3
LEFT,11,SWL11,DL11,L_ROW1,L_K11_D,L_COL4
LEFT,12,SWL12,DL12,L_ROW1,L_K12_D,L_COL5
LEFT,13,SWL13,DL13,L_ROW2,L_K13_D,L_COL0
LEFT,14,SWL14,DL14,L_ROW2,L_K14_D,L_COL1
LEFT,15,SWL15,DL15,L_ROW2,L_K15_D,L_COL2
LEFT,16,SWL16,DL16,L_ROW2,L_K16_D,L_COL3
LEFT,17,SWL17,DL17,L_ROW2,L_K17_D,L_COL4
LEFT,18,SWL18,DL18,L_ROW2,L_K18_D,L_COL5
LEFT,19,SWL19,DL19,L_ROW3,L_K19_D,L_COL0
LEFT,20,SWL20,DL20,L_ROW3,L_K20_D,L_COL1
LEFT,21,SWL21,DL21,L_ROW3,L_K21_D,L_COL2
LEFT,22,SWL22,DL22,L_ROW3,L_K22_D,L_COL3
LEFT,23,SWL23,DL23,L_ROW3,L_K23_D,L_COL4
LEFT,24,SWL24,DL24,L_ROW3,L_K24_D,L_COL5
LEFT,25,SWL25,DL25,L_ROW4,L_K25_D,L_COL0
LEFT,26,SWL26,DL26,L_ROW4,L_K26_D,L_COL1
LEFT,27,SWL27,DL27,L_ROW4,L_K27_D,L_COL2
LEFT,28,SWL28,DL28,L_ROW4,L_K28_D,L_COL3
LEFT,29,SWL29,DL29,L_ROW4,L_K29_D,L_COL4
RIGHT,1,SWR1,DR1,R_ROW0,R_K1_D,R_COL0
RIGHT,2,SWR2,DR2,R_ROW0,R_K2_D,R_COL1
RIGHT,3,SWR3,DR3,R_ROW0,R_K3_D,R_COL2
RIGHT,4,SWR4,DR4,R_ROW0,R_K4_D,R_COL3
RIGHT,5,SWR5,DR5,R_ROW0,R_K5_D,R_COL4
RIGHT,6,SWR6,DR6,R_ROW0,R_K6_D,R_COL5
RIGHT,7,SWR7,DR7,R_ROW0,R_K7_D,R_COL6
RIGHT,8,SWR8,DR8,R_ROW0,R_K8_D,R_COL7
RIGHT,9,SWR9,DR9,R_ROW1,R_K9_D,R_COL0
RIGHT,10,SWR10,DR10,R_ROW1,R_K10_D,R_COL1
RIGHT,11,SWR11,DR11,R_ROW1,R_K11_D,R_COL2
RIGHT,12,SWR12,DR12,R_ROW1,R_K12_D,R_COL3
RIGHT,13,SWR13,DR13,R_ROW1,R_K13_D,R_COL4
RIGHT,14,SWR14,DR14,R_ROW1,R_K14_D,R_COL5
RIGHT,15,SWR15,DR15,R_ROW1,R_K15_D,R_COL6
RIGHT,16,SWR16,DR16,R_ROW1,R_K16_D,R_COL7
RIGHT,17,SWR17,DR17,R_ROW2,R_K17_D,R_COL0
RIGHT,18,SWR18,DR18,R_ROW2,R_K18_D,R_COL1
RIGHT,19,SWR19,DR19,R_ROW2,R_K19_D,R_COL2
RIGHT,20,SWR20,DR20,R_ROW2,R_K20_D,R_COL3
RIGHT,21,SWR21,DR21,R_ROW2,R_K21_D,R_COL4
RIGHT,22,SWR22,DR22,R_ROW2,R_K22_D,R_COL5
RIGHT,23,SWR23,DR23,R_ROW2,R_K23_D,R_COL6
RIGHT,24,SWR24,DR24,R_ROW3,R_K24_D,R_COL0
RIGHT,25,SWR25,DR25,R_ROW3,R_K25_D,R_COL1
RIGHT,26,SWR26,DR26,R_ROW3,R_K26_D,R_COL2
RIGHT,27,SWR27,DR27,R_ROW3,R_K27_D,R_COL3
RIGHT,28,SWR28,DR28,R_ROW3,R_K28_D,R_COL4
RIGHT,29,SWR29,DR29,R_ROW3,R_K29_D,R_COL5
RIGHT,30,SWR30,DR30,R_ROW4,R_K30_D,R_COL0
RIGHT,31,SWR31,DR31,R_ROW4,R_K31_D,R_COL1
RIGHT,32,SWR32,DR32,R_ROW4,R_K32_D,R_COL2
RIGHT,33,SWR33,DR33,R_ROW4,R_K33_D,R_COL3
RIGHT,34,SWR34,DR34,R_ROW4,R_K34_D,R_COL4
RIGHT,35,SWR35,DR35,R_ROW4,R_K35_D,R_COL5
